CARUID,R_squared,MAPE,MEI,RMSE
1100,0.6882713435675893,7.846818834566529,0.5262963144952753,4.285675991083552
1200,0.5313524522564512,16.483676042940925,-0.08970577101824206,8.30645623386046
1300,0.5499135849937594,10.294229148819719,0.5278320284536493,5.535968108393257
2400,0.6084414113380886,5.820965543735808,0.35757013690519135,3.204353535612132
3500,0.7749518129743801,4.745820389300545,0.7256126811060679,3.1782198787001383
4601,0.8862346112758641,8.962728524025513,0.8621335196680935,4.083318009265329
4602,0.6569482287659236,13.751506656518488,0.6556669622917481,6.2966365975718155
4603,0.8348646736615383,8.665349837584479,0.6838526432937908,5.515521727228671
4604,0.7029655268343549,10.554989475531524,0.4217719892908721,9.065114718317368
4605,0.8274528691149453,10.290064776890176,0.5108017095756996,6.777615427259182
4606,0.6917958509498345,10.354970744687208,0.31225738994142815,6.86837891881937
4607,0.8378315124733736,10.614496262162174,0.7018027438874025,6.271391507179115
4608,0.8751499597529803,9.90251713690913,0.801055751990008,5.5667401121320195
4609,0.8104572432898162,19.025490692296884,0.48440554268286573,10.175903768160202
4610,0.5258465481021686,20.29288555530667,0.13257293402873838,12.821346773302299
4611,0.8728699103748643,13.308157263202602,0.6473703738645876,6.815756886022653
4612,0.42051650307866767,19.63033043089539,-0.5566486791514675,10.385315380467937
4701,0.7309820312397746,11.476255285428856,0.4878464628964335,5.972525134561137
4702,0.7386075381236784,9.82507787295864,0.6881331049536822,3.932483733451934
4703,0.7884909123284576,8.569615263106385,0.7708671974768999,2.827733781568
4704,0.5182703912620249,15.936332486916774,0.4787347869855526,4.802909578623995
4705,0.8537557119914144,8.11343082167048,0.6971762697564157,4.751881541431504
4706,0.8103838392466355,10.094646397917128,0.680027551199596,4.426125608432777
4707,0.9070791299319682,9.117153199967161,0.7613671356777023,3.4890489011429575
4708,0.9240146148868563,9.281158269965822,0.8187599254927687,3.101349568672126
4709,0.8418192719944741,6.967257779600347,0.7893183278190714,4.051423102889759
4710,0.8206578034015661,8.7115358024966,0.805073832725932,3.729930768242234
4711,0.8857444183033205,9.116669658880443,0.8801238136500797,2.999979493943003
4712,0.868118882866829,10.920560794752603,0.7644781986091754,4.569255648573043
4713,0.8718455213768961,21.29954180643714,0.3797841080371729,7.7047705055646345
4714,0.8668620389051621,9.134952357809212,0.787948238776816,4.156260311589297
4715,0.8749593893554306,10.56626928598862,0.8362266057089129,3.72336946882432
4716,0.8575548154007632,10.765354562047213,0.7226192420423525,4.587174013421847
4717,0.9271126376703996,25.73345659033757,0.35188434116949163,10.1066829093593
4810,0.7552361331280432,13.18608480977765,0.7439455161929879,4.2788457594198945
4820,0.8571000196739205,6.392946764975046,0.8437150777082962,3.551455095297066
4830,0.7779045539701835,12.322974017112422,0.6604294430860087,6.769855014005692
4840,0.8149968125681191,17.486006227071936,0.3768018323426391,7.703795204369045
4841,0.861209665470184,10.246323933777738,0.7330756538032729,5.231852013152842
4850,0.7008693100817894,7.0321246264698045,0.6887475574131297,4.953293681939696
4860,0.8261805602711747,22.528180898240773,-0.2063673491046083,12.541520824780198
4870,0.648572145245352,8.721742746453588,0.6251102274392176,4.691482621956351
5901,0.3997760062657642,17.56919664674216,0.34673732680534286,8.094773503449904
5908,0.6874451903388816,14.353077815658091,0.6266311216168841,6.922175256137937
